Bimonthly,Long 2007,Lat 2007,Long 2008,Lat 2008,Long 2009,Lat 2009,Long 2010,Lat 2010,Long 2011,Lat 2011,Long 2012,Lat 2012
Jan 1-15,,,-41.60151282,52.61551282,-36.24055556,56.20777778,-41.07533333,57.37866667,-34.29366667,57.31,-42.529,61.885
Jan 16-31,,,-38.96466346,52.00538462,-32.2853125,51.6740625,-34.4634375,55.52625,-31.79125,55.7484375,-33.945,53.23
Feb 1-15,,,-35.76745902,50.77333333,-24.65431818,60.39,-33.31933333,54.38466667,-29.77133333,55.74133333,-35.105,57.935
Feb 16-28,,,-33.07232106,49.6391411,-30.07733333,57.933,-28.80730769,53.82038462,-29.33538462,56.22423077,-30.26,52.32
Mar 1-15,,,-30.86829044,41.21303309,-42.79375,61.16958333,-24.393,57.82,-25.92545455,56.70681818,,
Mar 16-31,,,,,,,,,,,,
Apr 1-15,,,,,,,,,,,,
Apr 16-30,,,,,,,,,,,,
May 1-15,,,,,,,,,,,,
May 16-31,,,,,,,,,,,,
Jun 1-15,,,,,,,,,,,,
Jun 16-30,,,,,,,,,,,,
Jul 1-15,-28.77833333,4.051666667,-55.87,-5.25,-37.13,26.07,-52.51,48.47,,,,
Jul 16-31,-23.11113372,52.38694767,-20.89293137,49.78712745,-20.55342105,33.90842105,29.49,51.61,-30.111,54.353,,
Aug 1-15,-25.52069364,62.9633237,-31.13053862,50.80392785,-26.70678571,63.28,-52.3375,62.58333333,-36.17428571,58.57142857,,
Aug 16-31,-40.74271635,62.2503125,-35.77733936,56.65736948,-55.095625,62.3896875,-59.5140625,63.081875,-46.64583333,59.39916667,,
Sep 1-15,-49.38951282,61.16582051,-43.33708709,55.65445946,-55.804,63.03566667,-57.56633333,64.44,-60.045,60.6,,
Sep 16-30,-50.12622748,41.13935811,-37.83339888,38.32904494,-57.5025,62.2525,-58.195625,62.70375,,,,
Oct 1-15,-52.41289683,53.97223214,-37.57559462,30.69006944,-59.19807692,58.20807692,-51.84333333,58.91958333,,,,
Oct 16-31,-51.27926282,56.73733173,-40.35223913,13.70162319,-55.02125,63.0228125,-46.115625,59.009375,-31.01,68.85,,
Nov 1-15,-47.59941026,56.00038462,-46.39585443,22.85993671,-46.57533333,60.32933333,-40.17233333,59.02633333,-26.535,63.685,,
Nov 16-30,-46.74664103,55.55651282,-37.16183333,56.14116667,-44.25966667,60.10133333,-39.44566667,60.122,-50.948,62.39,,
Dec 1-15,-45.59446154,54.74846154,-33.48566667,53.7075,-43.76433333,59.36633333,-35.46,59.03133333,-35.20333333,63.60666667,,
Dec 16-31,-43.46209135,53.43204327,-31.47494792,52.92380208,-42.555,58.6665625,-34.4196875,58.0203125,-22.6425,63.43875,,
