Bimonthly,Long 1999,Lat 1999,Long 2000,Lat 2000,Long 2001,Lat 2001,Long 2002,Lat 2002,Long 2003,Lat 2003,Long 2004,Lat 2004,Long 2005,Lat 2005,Long 2006,Lat 2006,Long 2007,Lat 2007,Long 2008,Lat 2008,Long 2009,Lat 2009
Jan 1-15,,,-113.533875,37.72316667,-115.6037833,40.3753,-107.1429683,34.51739,-107.9775913,34.24273933,-106.2153515,32.2286131,-111.1415388,37.97141279,-108.8734446,39.52884203,-108.2514974,39.35965077,-108.057675,44.76625621,-109.7778225,39.75102845
Jan 16-31,,,-111.46225,38.61645833,,,-114.6971964,39.5433373,-107.2583931,33.82300768,-105.9553596,31.39049448,-110.7663164,38.01288665,-108.0577517,40.41850643,-108.6465085,40.4183639,-108.2153162,43.0593814,-109.5225029,38.5000176
Feb 1-15,,,-111.4773571,38.59825,,,-114.6949444,39.61094444,-107.9993607,34.10033513,-106.5347329,30.63037233,-111.9932715,38.63129644,-108.2284309,40.67228621,-108.4663823,40.31357888,-108.1401042,44.07765595,-110.7481767,40.79393
Feb 16-28,,,,,,,-115.2764,39.76757778,-107.4653781,34.62183073,-106.7966675,30.75704762,-112.2909926,39.20469758,-108.2341594,40.0545946,-108.4532352,40.26159808,-108.4488965,43.67264774,-111.6660556,42.68558333
Mar 1-15,,,-111.9681167,38.44995,,,-115.4314196,39.22984226,-108.2155539,34.81023373,-108.3429923,31.66707166,-111.487827,39.81655859,-108.3226519,40.1495777,-107.1342837,38.93310767,-107.8304033,47.36272333,-111.6777183,42.61297679
Mar 16-31,,,-111.8435,38.458,,,-115.5614,39.61747963,-108.4481396,35.17587633,-109.6661249,35.27943633,-111.0043514,39.66069993,-108.4777738,40.41526245,-107.3819905,39.27437566,-108.1220245,44.34048646,-111.6689762,42.59219848
Apr 1-15,,,-113.6637593,38.27407407,,,-115.2672558,39.82958503,-109.0256622,35.9299778,-112.0900764,38.45386223,-111.2816962,40.03743154,-108.7284413,40.08886014,-110.9765881,36.96214536,-107.7016296,48.44277778,-111.5535208,43.04455764
Apr 16-30,,,-114.6460208,40.238125,,,-115.6656286,39.8870381,-108.8873046,36.81475101,-117.1144747,40.71390184,-111.4885129,41.2533062,-109.5246502,41.93157208,-111.0264583,36.50985119,-107.9635446,45.68902083,-111.7968715,43.33678301
May 1-15,,,-116.1286708,41.25431667,,,-116.0636083,40.50078571,-110.3651103,39.48142327,-117.6008242,43.50305147,-111.6477078,41.5894318,-114.5133118,44.65018152,-109.0653956,38.33404123,-112.8648545,48.541025,-124.385464,53.61146713
May 16-31,,,-116.2575,41.29533333,,,-117.3447283,42.86376333,-115.3074303,45.81538705,-121.1885449,48.33263775,-112.4504335,43.45568101,-116.8991866,50.62821395,-113.3324753,47.67037574,-126.0834713,53.85820076,-143.5542058,61.18621171
Jun 1-15,,,,,,,-117.7893778,43.69371111,-118.5070099,50.25673912,-123.4727936,49.02873711,-111.6690091,46.57144389,-119.2958843,57.28329757,-114.9501388,50.5087971,-128.03659,62.35032417,-145.4920367,62.74008554
Jun 16-30,,,,,,,-115.3541667,41.91616667,-117.7779012,51.87103121,-129.6735078,55.81253529,-111.8935365,46.57477123,-121.3633441,55.50220487,-114.0479526,52.40907008,-129.0386978,68.94083116,-148.5414904,63.9376524
Jul 1-15,,,-116.0795,41.7295,,,,,-116.9020205,52.4457815,-126.2129564,53.59740532,-110.9808185,47.30127747,-122.8202585,58.51088732,-115.1605478,53.52635284,-128.614172,68.75725962,-148.5445381,63.9330388
Jul 16-31,,,,,,,,,-116.2432325,51.39912745,-130.9842951,56.24656429,-110.6765997,49.04363389,-120.7226463,61.59935303,-113.5702581,53.13513201,-127.4974078,68.91723506,-148.5194693,63.94471316
Aug 1-15,,,,,,,,,-116.3890764,51.59558638,-126.6833999,57.00759331,-110.5060778,50.40784222,-118.0190454,58.83262442,-111.169691,49.27512663,-125.7809143,69.09017302,-147.0791369,63.5424335
Aug 16-31,,,,,,,,,-117.0067973,50.64489878,-135.6338349,57.81741807,-110.7584037,48.86783027,-120.6980451,63.20948843,-114.1814605,53.72438294,-125.798888,69.08106235,-140.0113804,61.33359347
Sep 1-15,,,,,,,-113.75105,37.9904,-115.9375779,50.69053498,-132.1162735,53.44805273,-111.2568573,49.37734116,-121.6128262,60.30459391,-116.6258504,57.58109395,-123.5342977,65.27582685,-141.3210749,60.56136426
Sep 16-30,,,,,-114.4904167,40.16455556,-111.4864655,33.71037381,-116.9275415,48.32476375,-125.1898232,48.54994473,-111.1313871,46.63471452,-119.3543426,51.17028649,-115.5345692,55.90506286,-129.8968141,63.48901984,-139.8731438,59.9552808
